 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1943   163.3   144.1   221.4   218.7   192.5    56.1    53.3    95.1   132.5   288.7   260.4   168.6   632.6   204.5   681.6   427.3  1994.6
 1944   126.1   132.5   191.7   237.2   270.9    82.8    43.1    76.5   249.1   537.6   239.5   183.1   699.9   202.4  1026.2   492.0  2370.3
 1945   202.5   106.4   181.6   182.6   201.2    64.0    63.4   126.2   196.6   515.3   239.4   185.0   565.3   253.7   951.3   454.9  2264.2
 1946   125.3   144.6   192.6   208.9   150.0    64.8   234.4   179.9   266.2   296.8   264.8   236.5   551.5   479.2   827.8   574.8  2364.9
 1947   171.0   167.3   160.9   223.2   336.4   245.6    51.8   102.2   288.0   404.0   231.2   171.8   720.5   399.6   923.2   488.4  2553.6
 1948   135.9   180.6   189.7   239.2   138.2   209.8   156.7   161.4   170.3   282.6   240.6   171.6   567.2   527.8   693.5   396.3  2276.6
 1949    98.8   125.8   209.2   224.9   230.8   143.1    80.1    75.8   285.9   437.2   236.6   125.9   665.0   299.0   959.7   437.9  2274.3
 1950   161.6   150.4   173.2   233.0   220.0   164.5    35.0   171.3   156.6   465.6   299.5   153.5   626.3   370.8   921.7   481.1  2384.2
 1951   185.1   142.5   226.6   226.2   276.1    62.4    39.2    73.1   181.2   351.5   326.4   180.6   728.9   174.7   859.1   459.7  2271.0
 1952   160.9   118.2   180.2   247.3   262.9    87.4    46.0    65.0   194.4   338.9   227.1   152.8   690.4   198.5   760.4   449.2  2081.2
 1953   135.3   161.1   217.0   199.6   280.2    88.9    50.1    80.1   141.0   243.4   240.1   115.0   696.8   219.1   624.5   383.1  1951.8
 1954   114.0   154.1   214.0   244.1   231.5    63.8    36.7    55.3   165.0   434.0   274.7   168.5   689.7   155.7   873.6   462.3  2155.6
 1955   163.2   130.6   244.5   229.4   371.3    61.1    55.3   113.0   222.7   407.5   318.3   254.1   845.2   229.4   948.6   553.6  2571.1
 1956   172.0   127.5   306.3   262.4   186.4    87.9    51.1    94.4   123.0   321.4   231.4   227.7   755.1   233.4   675.8   557.8  2191.4
 1957   200.0   130.1   241.8   258.9   309.9    75.4    59.5    71.2   140.9   287.3   237.5   233.0   810.7   206.0   665.7   511.4  2245.5
 1958   170.5   107.9   175.3   200.5   127.6    61.0    72.4    64.8   123.9   236.6   275.6   259.6   503.4   198.3   636.1   609.5  1875.7
